id,symbol,name,current_price,price_change_percentage_24h,market_cap,market_cap_rank,total_volume,circulating_supply,ath,atl,last_updated
bitcoin,btc,Bitcoin,108870.0,0.83715,2164146246117,1,40649018878,19876993.0,111814.0,67.81,2025-06-10T16:52:35.684Z
ethereum,eth,Ethereum,2741.83,6.90252,330860973644,2,35085639807,120722642.6399531,4878.26,0.432979,2025-06-10T16:52:35.974Z
tether,usdt,Tether,1.0,-0.02945,155199482818,3,32659947376,155181610791.2075,1.32,0.572521,2025-06-10T16:52:35.850Z
ripple,xrp,XRP,2.28,-0.26677,133850273790,4,2695383540,58819652442.0,3.4,0.00268621,2025-06-10T16:52:35.636Z
binancecoin,bnb,BNB,662.89,0.594,96674331937,5,890044382,145887575.79,788.84,0.0398177,2025-06-10T16:52:35.367Z
solana,sol,Solana,157.86,1.06508,82891350050,6,4502014229,524924671.2784382,293.31,0.500801,2025-06-10T16:52:35.055Z
usd-coin,usdc,USDC,0.999801,-0.00102,60979255378,7,5349211014,60993016103.1459,1.17,0.877647,2025-06-10T16:52:35.792Z
dogecoin,doge,Dogecoin,0.191111,2.45,28596279867,8,1538879417,149615426383.7051,0.731578,8.69e-05,2025-06-10T16:52:35.617Z
tron,trx,TRON,0.292923,3.46128,27786484446,9,776032052,94848006198.4704,0.431288,0.00180434,2025-06-10T16:52:35.533Z
cardano,ada,Cardano,0.699139,2.57316,25238058168,10,811121775,36095092968.40453,3.09,0.01925275,2025-06-10T16:52:35.534Z
